Iteration,0,1,2,3,4,5,6,7,8,9
246,21,33,25,33,31,41,27,47,31,51
247,43,39,19,21,17,31,33,23,35,35
248,22,32,34,36,24,18,30,28,14,20
249,49,35,47,29,31,35,45,35,39,31
250,44,26,32,44,50,32,34,32,30,50
251,50,18,20,34,26,22,34,30,34,26
252,38,56,50,44,34,48,36,34,38,42
253,47,27,23,27,33,37,23,29,47,17
254,36,28,34,32,32,30,28,44,38,36
255,63,35,37,25,35,37,31,23,29,31
256,42,36,36,48,38,34,46,30,34,52
257,33,39,43,41,37,29,39,47,37,49
258,65,37,49,41,39,35,37,35,45,63
259,42,34,54,30,48,24,36,36,36,34
260,25,23,11,13,9,13,17,9,23,35
261,45,49,37,33,43,35,43,43,45,45
262,38,60,46,26,36,48,42,28,44,38
263,22,20,28,20,18,26,36,16,38,24
264,59,35,29,41,41,51,31,45,39,25
265,40,32,44,42,40,30,38,32,30,40
266,33,35,33,41,35,47,41,49,23,27
267,40,38,36,42,28,36,26,30,44,24
268,34,12,38,34,36,26,44,32,38,20
269,37,29,29,29,33,27,27,23,35,33
270,51,45,23,57,45,29,39,29,29,37
271,22,26,18,26,26,30,36,30,36,34
272,22,32,30,36,28,24,42,36,20,38
273,31,31,27,37,25,39,23,35,19,25
274,45,29,41,29,37,35,35,29,33,25
275,16,30,14,24,52,42,24,30,24,24
276,50,42,26,30,18,22,26,16,16,34
277,53,25,41,27,27,29,21,35,31,35
278,38,32,50,30,32,32,38,32,40,40
279,22,26,22,40,24,40,26,34,40,40
280,30,56,42,40,48,32,34,28,22,38
281,57,39,37,43,41,39,41,35,35,39
282,57,31,35,31,31,41,39,33,41,47
283,35,35,41,35,37,39,35,43,47,23
284,27,31,31,35,21,23,31,27,17,21
285,33,41,33,47,29,41,37,25,39,29
286,39,29,21,43,45,31,33,33,39,27
287,25,21,41,29,23,29,25,33,21,25
288,36,30,44,28,38,44,24,28,38,34
289,55,35,21,31,31,29,41,33,35,33
290,24,22,26,20,28,26,26,24,36,18
291,33,35,35,51,43,35,27,31,25,35
292,29,25,45,21,37,29,41,39,31,21
293,19,21,23,23,27,25,17,27,17,27
294,37,35,33,45,35,47,27,45,37,43
295,55,55,25,41,45,47,37,33,37,37
296,32,34,38,34,44,40,38,32,26,36
297,38,28,24,32,44,34,46,36,42,38
298,20,14,18,18,24,26,24,18,20,32
299,42,28,28,30,26,28,36,24,34,36
300,28,30,32,40,32,42,32,22,40,48
301,31,29,35,33,35,31,31,41,27,35
302,20,32,22,30,42,26,26,22,30,34
303,41,21,37,29,37,29,41,35,29,41
304,38,40,32,44,28,38,22,30,30,32
305,31,27,25,27,33,35,21,21,21,23
306,26,32,28,40,24,34,30,34,30,38
307,33,35,33,47,49,37,39,35,33,47
308,45,37,29,31,33,23,47,39,27,43
309,30,22,32,24,36,28,22,26,28,38
310,29,45,35,23,27,39,33,31,29,55
311,37,25,43,21,23,29,23,45,21,31
312,36,32,34,22,26,42,32,28,26,26
313,31,37,39,49,39,45,43,35,33,35
314,25,39,23,23,37,39,29,39,39,39
315,25,39,29,31,31,37,23,21,37,31
316,42,32,42,32,46,46,46,44,36,28
317,30,34,34,38,48,42,42,34,34,30
318,32,36,42,32,46,32,36,46,44,36
319,24,28,30,34,36,26,22,26,24,32
320,41,33,27,39,29,27,33,21,37,31
321,22,48,22,26,18,40,28,46,22,28
322,36,48,56,52,44,42,36,30,30,28
323,23,25,39,31,15,17,25,25,29,49
324,18,20,24,40,28,36,30,26,22,38
325,61,55,37,29,43,35,33,17,55,33
326,29,29,37,29,45,31,27,33,31,33
327,37,33,29,35,27,25,43,29,29,39
328,41,29,39,35,43,21,39,39,33,43
329,44,36,32,34,42,34,34,34,30,32
330,24,26,44,38,32,28,24,28,34,28
331,44,42,36,36,36,40,40,38,34,42
332,26,34,16,14,16,26,18,36,14,30
333,33,23,27,21,23,31,47,37,27,47
334,41,41,49,33,33,29,33,27,31,33
335,32,26,40,36,36,30,34,24,26,32
336,43,33,29,39,31,47,37,37,43,37
337,36,34,20,46,46,30,28,30,20,16
338,29,41,27,51,55,51,37,27,45,31
339,43,21,13,25,19,19,19,39,19,29
340,28,34,42,34,30,26,46,24,34,32
341,44,32,28,38,30,44,40,32,30,40
342,32,42,32,38,26,32,34,32,20,38
343,67,23,31,51,55,43,49,43,37,23
344,25,33,31,21,23,29,27,23,35,43
345,29,63,33,41,39,29,45,43,35,43
346,38,44,34,60,38,38,36,36,34,40
347,25,31,21,23,21,27,43,37,27,31
348,30,30,34,32,38,34,22,38,30,38
349,28,26,38,28,60,32,38,36,48,28
350,30,34,32,54,48,50,40,30,26,36
351,50,32,28,22,24,28,40,34,32,30
352,47,41,29,33,39,31,21,43,31,55
353,30,34,36,28,38,26,26,26,56,30
354,34,38,30,52,36,40,40,34,34,48
355,30,30,36,46,34,40,42,30,32,32
356,40,18,16,24,32,22,22,18,26,32
357,53,27,41,41,27,27,31,29,23,41
358,26,42,42,32,50,46,28,40,38,42
359,37,35,29,33,41,41,39,33,23,17
360,52,50,32,28,28,24,40,32,40,32
361,35,51,33,35,43,27,45,29,47,35
362,23,41,49,37,31,25,39,39,29,33
363,49,29,45,43,29,27,23,43,35,37
364,33,29,33,33,29,27,37,29,35,39
365,29,33,35,21,31,29,43,45,33,43
366,17,31,47,25,47,31,31,33,23,43
367,37,29,47,39,27,71,43,45,43,27
368,46,42,34,38,26,34,32,26,42,28
369,37,27,27,33,43,49,31,31,19,39
370,22,38,28,40,34,26,34,18,26,14
371,51,31,29,29,39,35,25,25,25,45
372,40,36,46,38,24,36,28,36,44,30
373,21,37,23,23,35,45,29,19,17,29
374,35,31,43,27,21,35,33,19,39,31
375,28,24,20,38,34,28,22,30,28,22
376,44,54,46,22,28,58,40,32,30,50
377,18,26,20,20,18,16,12,30,30,24
378,24,32,38,24,28,32,32,26,24,22
379,19,45,17,35,27,19,29,35,25,33
380,32,36,32,36,34,38,30,30,38,38
381,24,30,36,56,22,40,36,22,24,28
382,26,24,30,30,38,36,48,26,24,36
383,40,32,36,42,46,46,40,38,26,34
384,48,42,46,38,34,38,36,36,36,48
385,35,39,31,41,51,35,27,41,25,41
386,27,43,29,25,35,29,45,31,29,27
387,25,25,31,33,25,31,35,37,31,43
388,32,36,40,42,34,42,38,40,46,48
389,32,28,38,28,40,28,24,28,28,22
390,45,29,31,29,39,31,41,27,27,35
391,27,41,19,27,43,41,43,23,21,23
392,38,40,40,28,40,30,32,40,22,28
393,47,35,51,33,27,47,31,23,43,37
394,39,31,39,41,37,43,37,37,35,31
395,34,36,34,34,36,50,44,30,36,58
396,41,31,45,57,43,45,31,31,55,37
397,35,21,29,27,45,33,39,27,25,33
398,19,17,17,13,15,19,31,31,37,23
399,39,35,47,39,43,37,33,33,39,39
400,32,46,54,30,36,36,34,34,36,48
401,43,31,31,49,29,51,29,27,47,25
402,48,54,32,56,40,38,32,32,28,36
403,44,40,50,50,42,34,30,42,46,38
404,26,26,34,40,24,34,26,44,26,42
405,32,36,46,42,26,28,42,50,26,40
406,41,21,23,23,37,29,25,25,35,21
407,42,50,42,38,56,46,30,36,58,30
408,22,18,20,16,22,16,26,26,26,20
409,27,19,25,39,39,33,29,47,25,33
410,44,26,28,48,28,28,22,26,20,26
411,28,32,36,30,34,40,50,30,32,30
412,18,26,14,28,24,20,36,20,28,24
413,26,30,22,58,34,28,42,22,22,40
414,24,36,44,52,30,44,34,58,38,34
415,26,50,32,26,28,34,26,46,26,36
416,36,32,42,30,46,38,42,56,44,32
417,30,34,24,42,26,34,36,48,38,24
418,28,24,46,38,34,40,30,54,30,36
419,41,29,45,39,29,53,33,37,47,53
420,23,29,29,43,29,23,23,43,25,23
421,42,42,42,28,22,26,34,44,28,34
422,34,60,24,40,26,26,28,30,38,28
423,35,31,27,31,27,31,27,57,37,27
424,43,25,27,27,25,39,43,41,31,31
425,33,27,45,39,37,39,29,29,37,39
426,30,34,46,36,40,40,46,44,26,34
427,46,32,42,38,20,36,28,42,28,26
428,40,38,24,30,44,24,36,32,28,24
429,26,38,34,38,28,34,28,26,32,42
430,26,30,26,42,30,24,28,24,26,28
431,51,33,37,29,41,47,29,27,47,25
432,20,24,28,18,40,24,26,28,22,32
433,33,41,33,41,61,39,37,43,35,37
434,31,23,23,31,47,25,29,27,31,13
435,40,36,36,42,40,42,40,34,44,32
436,39,41,35,35,55,41,49,41,41,33
437,38,26,30,28,24,24,30,20,40,26
438,48,38,50,44,32,32,44,34,40,44
439,32,48,26,32,38,38,44,42,26,44
440,31,41,33,31,39,53,39,35,27,27
441,36,42,58,40,30,42,38,38,36,38
442,40,16,24,30,12,24,22,30,20,18
443,52,38,42,30,26,34,44,20,24,24
444,27,29,39,27,35,43,33,45,35,35
445,43,27,35,49,37,33,25,27,25,47
446,36,36,48,42,42,32,48,42,40,48
