Iteration,0,1,2,3,4,5,6,7,8,9,10
290,26,28,28,22,34,24,24,40,24,26,30
291,33,21,35,23,21,29,29,27,15,19,21
292,30,28,22,26,26,30,30,20,40,28,26
293,23,19,17,17,21,17,21,39,29,27,17
294,23,25,21,27,17,15,17,23,29,13,21
295,24,24,20,20,12,14,14,18,18,12,26
296,32,20,28,20,36,16,24,52,22,20,14
297,23,33,33,33,23,35,19,23,27,29,23
298,24,24,24,24,18,18,26,26,20,20,38
299,29,31,23,27,19,21,19,29,19,27,33
300,26,22,22,20,32,16,26,20,18,16,28
301,12,30,30,30,30,30,20,40,26,32,46
302,26,18,30,18,22,20,22,34,20,34,38
303,18,28,30,20,20,18,16,30,22,26,20
304,17,17,17,17,29,15,19,27,21,19,15
305,21,17,25,23,19,25,27,25,21,21,31
306,17,15,41,17,31,17,23,21,19,15,17
307,37,21,23,23,21,23,27,29,25,29,17
308,25,19,33,29,19,11,19,17,19,25,19
309,21,23,9,9,9,13,7,9,11,11,9
310,43,27,21,41,25,25,23,25,29,31,47
311,26,18,20,24,32,18,22,20,18,26,14
312,37,25,15,17,21,19,23,27,17,19,35
313,18,12,18,18,20,14,14,14,12,26,14
314,25,21,25,37,41,23,31,29,31,33,21
315,26,28,30,32,22,20,22,30,32,24,28
316,41,31,35,21,23,23,19,39,23,27,23
317,32,20,30,30,22,24,24,14,26,24,44
318,29,19,27,15,11,25,21,47,13,23,19
319,37,27,25,27,45,27,31,47,23,41,27
320,7,7,7,7,9,7,17,19,7,7,7
321,15,19,15,19,35,27,27,31,15,27,17
322,29,21,17,21,31,37,21,29,19,29,23
323,22,22,26,26,42,20,20,24,18,24,26
324,24,20,14,26,20,20,20,36,18,14,16
325,27,15,19,27,35,19,27,23,31,19,19
326,25,23,27,33,43,19,27,29,35,21,23
327,23,27,31,21,43,25,23,27,27,43,31
328,19,37,29,19,21,25,21,29,13,21,17
329,25,33,25,21,17,15,17,45,19,19,17
330,27,17,47,25,23,23,31,31,21,23,37
331,24,20,26,22,22,22,24,20,14,24,20
332,36,24,34,26,42,30,24,22,24,20,26
333,23,27,27,33,41,23,41,39,33,37,31
334,26,10,12,16,26,12,20,18,12,16,12
335,23,25,23,39,23,29,29,29,33,25,23
336,15,11,11,19,9,13,11,45,13,13,13
337,26,26,20,20,50,28,20,42,22,22,24
338,33,17,23,17,21,15,19,27,21,15,23
339,16,14,12,28,10,12,20,30,16,20,10
340,44,20,32,34,26,26,14,20,34,26,26
341,27,19,23,17,27,31,23,15,19,15,17
342,18,24,16,18,30,16,24,16,18,22,20
343,17,25,25,27,35,33,29,41,25,35,35
344,25,29,29,23,23,25,31,37,23,35,25
345,35,17,23,19,21,17,27,17,15,19,19
346,39,25,25,21,27,21,29,17,31,37,27
347,16,18,18,18,12,18,20,42,16,30,20
348,42,32,22,20,20,26,18,30,20,20,20
349,17,29,17,43,17,13,17,21,19,21,15
350,36,20,20,28,20,24,28,38,24,30,22
351,35,25,39,25,27,25,19,31,25,25,35
352,14,32,32,24,18,26,28,22,24,16,24
353,31,29,31,29,43,15,27,29,21,15,15
354,25,29,31,21,17,25,33,33,25,25,21
355,30,18,20,18,60,16,16,32,24,18,20
356,44,18,16,20,32,22,22,48,20,20,34
357,21,23,21,29,33,17,21,19,29,29,21
358,24,26,26,26,30,26,24,28,16,34,22
359,28,24,18,26,28,18,18,48,38,24,24
360,23,17,19,17,23,15,17,11,15,15,15
361,67,21,25,25,27,19,25,29,21,31,29
362,29,17,25,25,25,19,17,37,19,23,17
363,33,25,15,25,19,19,23,49,29,17,19
364,22,30,24,18,22,36,34,28,30,18,24
365,26,22,30,30,26,26,20,22,30,32,26
366,15,13,17,17,27,23,15,21,19,13,13
367,21,19,25,15,27,15,19,25,13,9,15
368,18,26,18,18,20,14,16,30,22,10,20
369,22,18,14,14,20,28,16,14,14,16,14
370,25,25,29,17,33,27,21,27,29,35,21
371,29,33,35,43,29,25,49,35,39,17,27
372,42,36,24,10,28,12,24,28,24,18,26
373,10,16,20,18,18,20,18,18,12,16,16
374,13,25,33,21,29,19,25,27,17,19,19
375,43,27,27,29,19,29,27,21,27,39,29
376,33,25,31,23,33,35,19,33,21,23,23
