Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8
88,12,3,71,85,23,7,11,2,0
89,8,6,56,73,19,5,5,1,0
90,7,2,62,77,26,6,11,1,3
91,6,3,50,66,18,8,5,2,3
92,2,0,49,66,22,2,5,1,1
93,4,2,39,65,14,4,9,1,1
94,2,0,47,42,9,5,6,0,0
95,6,1,39,44,6,3,3,0,0
96,2,0,36,44,9,3,3,0,0
97,2,1,36,26,7,1,1,1,0
98,3,0,31,20,11,0,1,0,0
99,2,0,20,49,4,2,0,0,0
100,2,0,22,18,4,3,2,0,0
101,2,1,18,26,3,0,1,0,0
102,0,0,10,19,2,0,2,0,0
103,2,0,11,14,1,0,1,0,0
104,1,0,13,21,5,2,1,0,0
105,1,0,18,18,6,0,1,1,0
106,1,1,9,12,2,0,2,0,0
107,0,0,10,17,2,0,0,0,0
108,0,0,11,9,0,0,1,0,0
109,0,0,7,10,1,0,0,0,0
110,0,0,5,13,3,0,0,0,0
111,0,0,9,6,1,0,2,0,0
112,0,0,2,3,1,0,0,0,0
113,0,0,8,10,1,0,0,0,0
114,0,1,4,6,2,0,0,0,0
115,0,0,9,6,2,0,0,0,0
116,0,0,3,3,0,0,0,0,0
117,0,0,3,5,0,0,0,0,0
118,1,0,3,4,1,0,0,0,0
119,0,0,2,1,2,0,0,0,0
120,0,0,6,2,0,0,0,0,0
121,0,0,5,2,0,0,0,0,0
122,0,0,1,3,1,0,0,0,0
123,0,0,2,6,0,0,0,0,0
124,0,0,1,1,0,0,0,0,0
125,0,0,1,2,0,0,1,0,0
126,0,0,0,2,0,0,0,0,0
127,1,0,0,1,1,0,0,0,0
128,0,0,1,2,0,0,0,0,0
129,0,0,1,0,0,0,0,0,0
130,0,0,1,2,0,0,1,0,0
131,0,0,0,2,0,0,0,0,0
132,0,0,0,1,0,0,0,0,0
134,0,0,1,0,0,0,0,0,0
135,0,0,0,1,1,0,0,0,0
136,0,0,1,1,1,0,0,0,0
137,0,0,1,0,0,0,0,0,0
138,0,0,0,1,0,0,0,0,0
139,0,0,0,1,0,0,0,0,0
141,0,0,0,1,0,0,0,0,0
143,0,0,1,0,0,0,0,0,0
145,0,0,1,1,0,0,0,0,0
147,0,0,0,1,0,0,0,0,0
149,0,0,0,1,0,0,0,0,0
