Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8
69,1096,981,1120,1205,1341,1147,1348,934,878
70,1096,843,1163,1197,1348,1123,1328,832,833
71,972,812,1131,1255,1290,1031,1253,769,737
72,937,752,1101,1148,1185,1034,1183,694,694
73,964,694,1107,1084,1199,991,1191,680,629
74,870,609,1066,1195,1172,924,1076,598,625
75,821,571,993,1010,1116,954,1048,584,584
76,786,568,1013,1150,1094,839,1071,501,518
77,727,479,922,1075,1099,828,973,476,502
78,657,453,955,1051,1060,823,964,408,441
79,652,450,864,1009,970,737,905,415,415
80,610,386,877,979,963,701,860,364,405
81,590,386,810,955,893,622,833,396,329
82,545,374,934,874,865,641,753,334,330
83,536,350,814,875,836,586,712,316,318
84,525,317,803,854,809,586,718,281,295
85,478,309,794,885,794,545,670,272,283
86,482,283,749,850,766,515,630,249,217
87,437,273,769,810,727,482,618,230,209
88,408,237,671,775,660,480,585,240,209
89,414,230,656,792,747,494,556,215,197
90,397,203,670,765,635,467,561,188,181
91,388,186,644,729,626,428,521,196,176
92,339,181,623,698,633,385,468,170,160
93,349,152,623,711,595,379,448,149,149
94,308,153,574,679,544,375,471,152,136
95,283,145,605,642,509,377,411,141,142
96,282,128,566,620,518,374,398,123,131
97,276,116,543,636,495,362,419,131,116
98,257,99,521,584,510,320,371,110,116
99,274,118,543,593,454,296,370,95,105
100,235,116,521,550,472,274,351,89,86
101,246,100,540,535,437,275,329,100,94
102,201,110,447,545,389,279,329,91,97
103,175,85,460,518,353,275,300,103,67
104,189,76,439,524,379,271,288,76,71
105,169,66,430,506,417,233,281,81,77
106,169,71,433,496,357,246,264,63,67
107,159,71,380,488,362,218,236,67,63
108,179,56,404,464,330,220,271,90,67
109,163,67,407,465,354,226,260,63,55
110,134,47,382,418,321,203,240,56,53
111,127,53,365,433,277,225,258,65,62
112,110,60,367,425,304,199,200,66,43
113,130,47,367,403,300,195,224,68,54
114,120,37,353,425,313,186,199,53,46
115,88,51,340,403,330,189,192,56,55
116,102,33,346,410,262,185,191,55,49
117,124,35,325,391,273,171,196,57,46
118,96,41,331,366,248,167,172,53,41
119,105,26,257,353,276,160,176,56,53
120,84,32,260,346,253,163,167,47,46
121,99,32,265,355,238,163,157,57,42
122,88,28,279,355,240,160,167,49,40
123,86,20,312,346,218,144,129,51,31
124,65,35,272,312,240,151,130,38,26
125,69,19,235,320,231,153,139,40,31
126,75,23,232,275,203,124,160,42,44
127,77,24,219,273,188,120,151,33,30
128,66,19,225,301,173,135,137,38,28
129,67,21,218,292,214,141,109,34,27
130,54,22,184,280,193,124,107,38,26
131,68,18,221,272,196,98,127,38,35
132,61,12,223,256,153,113,96,46,23
133,46,13,199,225,186,103,101,38,18
134,47,10,171,233,141,100,108,42,26
135,42,10,185,254,173,120,98,34,25
136,46,11,189,231,173,82,83,26,21
137,39,8,154,236,154,82,93,37,30
138,32,8,170,251,161,90,79,25,19
139,41,15,174,243,138,95,84,34,25
140,44,13,156,250,110,95,78,29,22
141,40,12,161,217,121,92,87,13,25
142,31,13,138,207,143,91,75,26,12
143,41,13,155,213,127,80,70,16,17
144,35,12,143,208,140,88,75,30,17
145,36,10,164,205,127,78,84,35,30
146,19,8,128,207,126,81,58,25,23
147,31,8,125,165,133,65,75,23,20
148,26,9,130,171,119,89,55,26,21
149,26,7,123,179,119,80,60,21,18
150,25,7,112,159,116,85,75,28,16
151,24,3,109,156,93,64,63,23,19
152,26,5,104,152,95,70,71,28,18
153,32,4,112,157,91,59,53,9,15
154,18,1,119,156,77,68,44,21,12
155,21,4,93,151,101,60,48,18,17
156,21,5,104,156,89,50,45,27,13
157,21,5,109,174,104,61,52,20,26
158,11,5,99,162,87,64,46,14,19
159,26,5,107,155,120,62,40,16,18
160,15,6,90,130,87,49,38,14,12
161,10,4,95,157,96,60,48,20,9
162,17,3,66,144,81,42,40,15,13
163,11,3,95,141,64,53,50,12,10
164,11,2,70,146,90,56,34,20,15
165,8,1,59,122,85,41,36,16,13
166,13,5,82,116,71,45,42,11,5
167,13,1,73,139,82,48,28,11,10
168,19,3,75,106,65,37,33,17,16
169,11,2,65,118,67,45,31,12,22
170,11,4,57,100,65,42,35,20,8
171,12,2,70,102,52,37,28,14,10
172,9,0,79,105,58,37,42,14,13
173,10,3,64,100,56,41,33,10,7
174,6,4,53,111,71,51,25,12,11
175,7,1,69,94,61,47,29,11,8
176,9,2,52,103,65,38,30,17,11
177,15,3,43,98,70,27,28,10,8
178,10,1,60,116,68,38,27,6,9
179,11,1,51,98,50,31,29,6,4
180,3,0,54,94,57,26,23,11,9
181,9,0,50,107,49,28,33,13,12
182,6,3,50,90,48,31,19,15,9
183,10,3,41,87,39,28,17,4,11
184,6,1,48,90,62,35,21,10,4
185,6,1,47,86,55,35,27,11,8
186,6,2,35,87,45,34,24,9,5
187,6,3,39,105,55,33,20,7,8
188,3,0,38,101,50,33,29,3,3
189,6,1,45,77,50,30,23,4,3
190,4,0,37,66,41,35,15,9,6
191,6,2,43,61,55,25,17,8,10
192,11,1,29,71,43,24,14,5,9
193,3,2,46,67,31,30,16,11,3
194,7,0,46,62,43,26,15,9,6
195,3,0,30,72,41,16,18,10,7
196,2,1,34,70,43,20,13,4,8
197,6,2,47,68,42,24,17,10,11
198,4,1,33,69,26,30,16,5,11
199,7,1,38,62,46,24,15,6,6
200,2,1,35,67,27,25,18,6,2
201,6,1,32,56,33,25,7,10,6
202,2,0,25,46,28,21,14,3,6
203,5,0,27,53,33,19,16,6,2
204,4,1,32,60,27,28,14,4,10
205,5,3,27,57,31,27,11,6,5
206,9,3,25,57,36,16,9,5,3
207,6,0,31,67,24,17,8,5,2
208,2,0,22,49,27,24,11,0,5
209,5,2,23,44,18,12,13,7,7
210,2,0,24,43,35,16,19,2,4
211,2,0,18,46,19,25,8,5,2
212,5,0,22,60,26,18,12,8,3
213,2,0,27,47,21,17,7,6,6
214,4,0,27,44,28,18,8,2,3
215,5,0,22,50,34,12,5,5,3
216,3,1,20,64,27,11,12,2,4
217,2,1,19,54,17,14,7,3,2
218,1,1,12,42,28,9,5,3,4
219,3,0,11,38,18,14,12,5,4
220,1,0,14,38,22,16,14,6,4
221,1,0,20,37,19,9,7,5,6
222,3,0,27,32,22,11,5,2,2
223,4,1,17,46,18,14,7,2,2
224,2,0,18,40,23,18,6,4,3
225,4,0,19,40,16,14,10,4,6
226,2,0,16,33,24,14,8,3,3
227,0,1,11,32,25,14,5,1,1
228,2,0,12,40,20,20,6,5,1
229,1,0,21,33,21,9,4,2,3
230,2,0,11,40,13,9,9,2,0
231,2,0,19,43,16,14,2,3,1
232,3,0,14,31,21,8,5,0,1
233,2,0,16,34,19,12,5,3,3
234,4,0,12,40,17,12,3,0,2
235,0,1,8,33,18,8,6,4,1
236,4,1,8,42,12,9,4,0,0
237,1,0,13,38,18,14,5,2,2
238,2,0,12,27,16,9,4,1,3
239,1,0,9,30,8,11,4,3,1
240,0,0,6,29,22,9,2,1,3
241,3,1,10,27,18,3,8,3,1
242,2,1,8,29,9,14,6,1,1
243,0,0,13,31,8,8,5,1,0
244,1,0,11,22,15,10,3,3,0
245,1,0,9,22,11,6,6,2,1
246,0,0,10,28,9,5,5,2,3
247,1,0,10,23,8,9,4,2,0
248,0,0,9,22,13,6,4,1,3
249,1,1,6,17,12,7,1,4,4
250,1,0,7,33,11,9,2,3,2
251,3,0,11,35,10,3,5,0,2
252,0,0,10,22,13,5,3,1,2
253,2,0,3,33,13,11,4,1,1
254,1,0,9,22,10,5,3,0,3
255,0,0,9,20,7,7,3,3,1
256,0,0,7,17,8,8,3,1,3
257,1,0,7,22,16,6,3,2,4
258,0,0,7,21,7,6,4,4,2
259,0,0,5,23,9,7,3,2,1
260,1,0,9,23,12,11,3,2,1
261,0,0,8,17,7,7,1,2,0
262,2,0,6,20,7,5,5,3,0
263,0,0,6,16,8,6,0,2,1
264,0,1,7,21,8,3,2,1,0
265,1,0,6,15,7,2,3,1,0
266,1,0,6,26,10,4,3,2,0
267,0,0,4,25,4,0,3,1,0
268,0,0,9,11,9,8,3,1,0
269,1,1,7,15,5,4,3,0,4
270,0,0,3,18,9,4,2,2,0
271,0,0,6,20,9,3,4,0,1
272,0,0,6,12,7,11,6,2,1
273,0,0,6,17,8,5,0,1,1
274,0,0,2,6,6,2,0,1,0
275,0,0,8,16,6,4,3,2,1
276,0,0,3,15,6,2,2,0,1
277,0,0,4,15,8,6,3,0,1
278,1,0,6,21,6,5,2,0,0
279,0,0,5,6,4,3,1,0,1
280,0,0,2,21,7,1,3,2,2
281,0,0,4,7,4,4,1,1,0
282,0,0,3,20,7,3,2,1,1
283,1,0,5,18,6,4,4,1,1
284,0,0,4,16,6,1,1,1,0
285,0,0,4,15,8,4,3,1,0
286,0,0,5,9,1,3,4,2,1
287,0,0,4,15,4,3,2,1,0
288,0,0,3,16,5,4,0,1,1
289,0,0,3,11,3,4,1,1,1
290,0,0,3,12,5,6,3,0,2
291,0,0,1,11,4,1,0,1,0
292,0,0,1,18,5,3,1,1,1
293,0,0,0,7,7,6,0,1,1
294,0,0,0,13,5,3,1,0,1
295,0,0,1,11,4,3,2,0,1
296,0,0,6,9,3,2,1,3,0
297,0,0,4,10,2,2,0,0,1
298,0,0,4,10,5,1,0,1,0
299,0,0,4,12,4,1,3,0,3
300,0,0,1,7,4,7,1,0,0
301,0,0,1,11,3,3,1,0,0
302,0,0,0,7,3,2,1,1,0
303,0,0,0,6,2,1,2,0,0
304,0,0,1,11,3,1,3,0,0
305,0,0,2,7,3,0,1,1,0
306,1,0,2,7,5,1,2,0,1
307,0,0,0,6,4,2,1,0,0
308,0,0,3,12,4,3,0,0,0
309,0,0,1,10,3,0,1,0,0
310,0,0,5,8,0,2,0,0,0
311,0,0,0,7,2,1,2,1,0
312,0,0,1,10,4,4,1,0,0
313,0,0,1,7,4,0,1,0,0
314,0,0,1,8,2,2,0,0,0
315,0,0,0,7,4,2,2,0,0
316,0,0,1,7,2,2,3,0,0
317,0,0,4,5,3,1,1,0,1
318,1,0,2,4,2,0,0,0,0
319,1,0,2,5,2,2,0,0,1
320,0,0,0,5,2,0,1,1,2
321,0,0,3,9,1,4,0,0,0
322,0,0,1,5,4,1,0,1,1
323,0,0,2,7,3,0,1,1,1
324,0,0,2,5,0,1,1,0,0
325,0,0,2,8,2,1,1,0,1
326,0,0,0,4,2,1,0,0,1
327,0,0,1,8,1,1,0,1,0
328,1,0,0,8,3,0,1,1,0
329,0,0,0,5,4,3,0,0,0
330,0,0,1,10,0,2,0,1,0
331,0,0,1,4,2,1,0,1,0
332,0,0,2,5,1,1,0,0,0
333,0,0,0,8,5,3,1,0,0
334,0,0,2,4,1,2,0,0,0
335,0,0,1,7,1,0,0,0,0
336,0,0,0,4,2,1,2,1,0
337,0,0,0,7,2,1,2,1,0
338,0,0,1,1,4,1,1,1,0
339,0,0,1,7,1,1,0,0,0
340,0,0,0,2,1,0,0,0,0
341,0,0,1,6,3,0,0,1,0
342,0,0,0,7,1,0,0,0,0
343,0,0,1,5,1,2,0,1,0
344,0,0,2,4,1,1,0,0,1
345,0,0,0,6,1,0,1,0,0
346,0,0,0,3,1,1,0,0,0
347,0,0,0,2,0,1,2,0,0
348,0,0,2,3,1,1,1,0,0
349,0,0,0,1,3,1,0,0,0
350,0,0,0,3,3,0,0,0,1
351,0,0,0,1,2,1,0,0,0
352,0,0,0,1,1,1,0,0,0
353,0,0,0,6,0,1,0,1,0
354,0,0,1,6,0,2,0,0,0
355,0,0,0,5,1,1,0,0,0
356,0,0,0,1,1,0,0,0,0
357,0,0,1,2,1,1,0,0,0
358,0,0,0,6,2,0,0,1,1
359,0,0,1,4,0,3,0,0,0
360,0,0,2,2,2,0,0,0,0
361,0,0,2,4,1,1,0,0,0
362,0,0,0,3,0,1,1,0,0
363,0,0,1,2,0,0,0,0,0
364,0,0,0,4,1,0,0,0,1
365,0,0,0,6,0,0,0,0,0
366,1,0,0,4,3,0,1,0,0
367,0,0,0,2,1,2,0,0,0
368,0,0,0,3,1,1,0,0,0
369,0,0,0,2,1,1,0,0,0
370,0,0,0,3,0,1,0,0,0
371,0,0,1,3,0,1,1,0,1
372,0,0,0,1,1,1,1,0,0
373,0,0,1,3,2,0,0,0,0
374,0,0,0,1,0,2,0,0,0
375,0,0,0,3,2,0,0,0,0
377,0,0,0,2,0,2,0,0,0
378,0,0,0,3,0,0,0,1,1
379,0,0,0,2,0,0,1,0,0
380,0,0,0,2,1,0,0,0,0
381,1,0,0,4,1,0,0,0,0
382,0,0,0,3,0,0,0,0,0
383,0,0,1,4,1,0,1,0,0
384,0,0,0,1,1,1,0,0,0
385,0,0,0,4,1,0,0,0,0
386,0,0,1,3,1,1,1,0,0
387,0,0,0,1,1,0,0,0,0
388,0,0,0,2,0,0,0,0,1
389,0,0,0,4,1,0,0,0,0
390,0,0,0,1,0,1,1,0,1
391,0,0,0,2,1,0,0,0,0
392,0,0,0,3,1,0,0,0,1
393,0,0,1,3,0,1,0,0,0
394,0,0,1,1,1,0,0,0,0
396,0,0,0,3,2,0,0,0,0
397,0,0,0,2,0,0,0,0,0
398,0,0,0,1,0,1,0,0,0
400,0,0,0,3,0,0,0,0,0
401,0,0,0,0,0,0,1,1,0
402,0,0,0,3,0,0,0,0,0
403,1,0,0,1,2,0,0,0,0
404,0,0,0,2,0,0,0,0,0
405,0,0,1,2,1,1,0,0,0
406,0,0,0,3,0,0,0,0,0
407,0,0,0,4,0,1,0,0,0
408,0,0,0,2,2,0,0,0,0
410,0,0,1,1,1,0,0,0,0
411,0,0,0,3,1,1,0,0,0
412,0,0,0,2,0,0,0,0,0
413,0,0,0,2,0,0,0,0,0
414,0,0,0,2,0,0,1,0,0
415,0,0,0,2,0,1,0,0,1
416,0,0,0,1,1,0,0,0,0
417,0,0,0,2,0,0,0,0,0
418,0,0,0,2,0,0,0,1,0
419,0,0,1,2,0,0,0,0,0
420,0,0,0,0,1,0,0,0,0
421,0,0,1,3,0,0,0,0,0
422,0,0,1,3,1,0,0,0,0
423,0,0,0,3,0,0,0,0,0
424,0,0,0,2,0,0,0,0,0
425,0,0,0,2,0,0,0,0,0
426,0,0,0,2,0,0,0,0,0
427,0,0,0,2,0,0,0,0,0
428,0,0,0,1,0,0,0,0,0
429,0,0,0,2,0,0,0,0,0
430,0,0,0,2,2,0,0,0,0
433,0,0,0,1,0,0,0,0,0
434,0,0,0,2,0,1,0,0,0
435,0,0,0,0,0,1,0,0,0
436,0,0,0,2,0,0,1,0,0
437,0,0,0,4,0,0,0,0,0
438,0,0,0,0,1,0,0,0,0
439,0,0,0,1,1,0,0,0,0
440,0,0,0,1,0,0,0,0,0
441,0,0,0,0,1,0,0,0,0
443,0,0,0,2,0,0,0,0,1
444,0,0,0,1,0,0,0,0,0
445,0,0,0,1,0,0,0,0,0
446,0,0,0,2,0,0,0,0,0
447,0,0,0,1,0,0,0,0,0
449,0,0,0,3,0,0,0,0,0
451,0,0,0,1,0,1,0,0,0
452,0,0,0,1,0,1,0,0,0
453,0,0,0,2,0,0,0,0,0
454,0,0,1,1,0,0,0,0,0
455,0,0,0,0,1,0,0,0,0
456,0,0,0,0,1,1,0,0,0
458,0,0,0,0,0,1,0,0,0
459,0,0,1,0,0,1,0,0,0
460,0,0,0,1,0,0,0,0,0
461,0,0,1,0,0,0,0,0,0
465,0,0,1,2,0,0,0,0,0
466,0,0,1,1,0,1,0,0,0
469,0,0,0,0,0,0,1,0,0
472,0,0,0,1,0,0,0,0,0
473,0,0,0,1,0,0,0,0,0
475,0,0,0,0,1,0,0,0,0
476,0,0,1,0,0,0,0,0,0
477,0,0,0,1,0,0,0,0,0
485,0,0,0,1,0,0,0,0,0
488,0,0,0,2,0,0,0,0,0
493,0,0,0,1,0,0,0,0,0
495,0,0,0,0,1,0,0,0,0
496,0,0,0,1,0,0,0,0,0
497,0,0,1,0,0,0,0,0,0
501,0,0,0,0,1,0,0,0,0
506,0,0,0,0,1,0,0,0,0
511,0,0,1,0,0,0,0,0,0
517,0,0,0,1,0,0,0,0,0
520,0,0,0,1,0,0,0,0,0
529,0,0,1,1,0,0,0,0,0
533,0,0,0,0,0,0,1,0,0
534,0,0,0,2,0,0,0,0,0
536,0,0,0,1,0,0,0,0,0
550,0,0,0,1,0,0,0,0,0
556,0,0,0,1,0,0,0,0,0
558,0,0,0,1,0,0,0,0,0
559,0,0,0,0,0,0,0,1,0
561,0,0,0,1,0,0,0,0,0
564,0,0,0,1,0,0,0,0,0
570,0,0,0,1,0,0,0,0,0
573,0,0,0,1,0,0,0,0,0
579,0,0,0,1,0,0,0,0,0
580,0,0,0,1,0,0,0,0,0
585,0,0,0,1,0,0,0,0,0
606,0,0,0,1,0,0,0,0,0
614,0,0,0,1,0,0,0,0,0
617,0,0,0,1,0,0,0,0,0
628,0,0,0,1,0,0,0,0,0
633,0,0,0,1,0,0,0,0,0
647,0,0,0,1,1,0,0,0,0
648,0,0,0,1,0,0,0,0,0
657,0,1,0,0,0,0,0,0,0
664,0,0,0,0,0,0,0,0,1
710,0,0,0,1,0,0,0,0,0
724,0,0,0,1,0,0,0,0,0
728,0,0,0,1,0,0,0,0,0
856,0,0,0,1,0,0,0,0,0
