Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-74,33708,4752,0,0,62232,14703
-73,1176,5490,0,0,10368,16065
-72,4995,6117,0,0,63015,17472
-71,34023,6276,0,0,56190,19242
-70,1119,6594,0,0,11952,20559
-69,5889,7362,0,0,64671,23052
-68,32388,7872,0,0,57315,25335
-67,1266,7755,0,0,25920,24762
-66,8988,7884,0,0,63288,26775
-65,27444,8349,0,0,46482,29553
-64,756,9711,0,0,24057,32241
-63,23343,9684,0,0,86001,32658
-62,32319,10431,0,0,59676,34389
-61,156,11469,0,0,42051,36252
-60,35016,12747,0,0,98640,38793
-59,29235,12153,0,0,53289,40788
-58,336,13122,0,0,43803,46953
-57,55842,14040,0,0,128460,47178
-56,31092,13905,0,0,63165,47865
-55,936,14622,0,0,69804,53529
-54,58761,18066,0,0,130128,59457
-53,41334,17112,0,0,80859,61494
-52,1824,17931,0,0,72303,67878
-51,71151,22188,0,0,200841,74841
