config,L,C,M
"[7, 1, 0, 0, 0, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 0, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 0, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 0, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 0, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 0, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 0, 1, 1, 1, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 0, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 0, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 0, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 0, 1, 1, 1, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 0, 1, 1, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 0, 1, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 0, 1, 1, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 0, 1, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 0, 1, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 0, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 0, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 0, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 0, 1, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 1, 0, 1]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0,1,0
"[7, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 0, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 0, 1, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 0, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 0, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 0, 1, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 0, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 0, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 0, 1, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 1, 0, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 1, 1, 0]",0,1,0
"[8, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 0, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 1, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 1, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 0, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 0, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 0, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 1, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 1, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 0, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 0, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 0, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 1, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 1, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 1, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 0, 1, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 0, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 0, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 0, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 0, 1, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 1, 0, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 1, 0, 1]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 1, 1, 0]",0,1,0
"[8, 0, 0, 1, 0, 1, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 0, 1, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 0, 1, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 1, 0, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 1, 0, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 1, 1, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 0, 1, 1, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 0, 0, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 0, 0, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 0, 1, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 0, 1, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 1, 0, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 1, 0, 1]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 1, 1, 0]",0,1,0
"[8, 0, 0, 1, 1, 0, 1, 1, 1, 1]",0,1,0
"[8, 0, 0, 1, 1, 1, 0, 0, 0, 0]",0,1,0
"[8, 0, 0, 1, 1, 1, 0, 0, 0, 1]",0,1,0
"[8, 0, 0, 1, 1, 1, 0, 0, 1, 0]",0,1,0
