config,L,C,M
763,9,5,2
764,2,2,1
765,2,2,1
766,2,2,1
767,50,18,3
768,312,84,4
769,36,14,3
770,36,14,3
771,36,14,3
772,36,14,3
773,16,8,2
774,2,2,1
775,2,2,1
776,36,14,3
777,2,2,1
778,16,8,2
779,2,2,1
780,36,14,3
781,2,2,1
782,2,2,1
783,16,8,2
784,50,18,3
785,80,28,3
786,9,5,2
787,9,5,2
788,2,2,1
789,9,5,2
790,0,1,0
791,0,1,0
792,2,2,1
793,2,2,1
794,2,2,1
795,0,1,0
796,2,2,1
797,2,2,1
798,0,1,0
799,2,2,1
800,50,18,3
801,9,5,2
802,80,28,3
803,9,5,2
804,2,2,1
805,2,2,1
806,2,2,1
807,0,1,0
808,2,2,1
809,0,1,0
810,9,5,2
811,0,1,0
812,2,2,1
813,0,1,0
814,2,2,1
815,2,2,1
816,520,136,4
817,80,28,3
818,80,28,3
819,460,122,4
820,16,8,2
821,16,8,2
822,2,2,1
823,9,5,2
824,16,8,2
825,2,2,1
826,16,8,2
827,9,5,2
828,16,8,2
829,2,2,1
830,2,2,1
831,36,14,3
832,56,20,3
833,80,28,3
834,9,5,2
835,9,5,2
836,80,28,3
837,108,36,3
838,16,8,2
839,16,8,2
840,9,5,2
841,16,8,2
842,16,8,2
843,2,2,1
844,9,5,2
845,16,8,2
846,2,2,1
847,16,8,2
848,9,5,2
849,80,28,3
850,2,2,1
851,2,2,1
852,2,2,1
853,50,18,3
854,2,2,1
855,2,2,1
856,0,1,0
857,9,5,2
858,2,2,1
859,0,1,0
860,0,1,0
861,9,5,2
862,0,1,0
863,2,2,1
864,9,5,2
865,16,8,2
866,16,8,2
867,2,2,1
868,2,2,1
869,12,6,2
870,16,8,2
871,2,2,1
872,0,1,0
873,2,2,1
874,9,5,2
875,0,1,0
876,0,1,0
877,2,2,1
878,2,2,1
879,2,2,1
880,80,28,3
881,144,48,3
882,16,8,2
883,80,28,3
884,16,8,2
885,108,36,3
886,16,8,2
887,80,28,3
888,2,2,1
889,16,8,2
890,16,8,2
891,9,5,2
892,2,2,1
893,16,8,2
894,2,2,1
895,36,14,3
896,56,20,3
897,9,5,2
898,80,28,3
899,9,5,2
900,9,5,2
901,16,8,2
902,16,8,2
903,2,2,1
904,80,28,3
905,16,8,2
906,108,36,3
907,16,8,2
908,9,5,2
909,2,2,1
910,16,8,2
911,16,8,2
912,9,5,2
913,16,8,2
914,16,8,2
915,2,2,1
916,0,1,0
917,9,5,2
918,2,2,1
919,0,1,0
920,2,2,1
921,16,8,2
922,12,6,2
923,2,2,1
924,0,1,0
925,2,2,1
926,2,2,1
927,2,2,1
928,9,5,2
929,2,2,1
930,80,28,3
931,2,2,1
932,0,1,0
933,2,2,1
934,9,5,2
935,0,1,0
936,2,2,1
937,2,2,1
938,50,18,3
939,2,2,1
940,0,1,0
941,0,1,0
942,9,5,2
943,2,2,1
944,80,28,3
945,16,8,2
946,144,48,3
947,80,28,3
948,2,2,1
949,16,8,2
950,16,8,2
951,9,5,2
952,16,8,2
953,16,8,2
954,108,36,3
955,80,28,3
956,2,2,1
957,2,2,1
958,16,8,2
959,36,14,3
960,584,152,4
961,80,28,3
962,80,28,3
963,460,122,4
964,80,28,3
965,144,48,3
966,16,8,2
967,80,28,3
968,80,28,3
969,16,8,2
970,144,48,3
971,80,28,3
972,460,122,4
973,80,28,3
974,80,28,3
975,520,136,4
976,80,28,3
977,144,48,3
978,16,8,2
979,80,28,3
980,2,2,1
981,80,28,3
982,2,2,1
983,9,5,2
984,2,2,1
985,16,8,2
986,16,8,2
987,9,5,2
988,9,5,2
989,80,28,3
990,9,5,2
991,50,18,3
992,80,28,3
993,16,8,2
994,144,48,3
995,80,28,3
996,2,2,1
997,16,8,2
998,16,8,2
999,9,5,2
1000,2,2,1
1001,2,2,1
1002,80,28,3
1003,9,5,2
1004,9,5,2
1005,9,5,2
1006,80,28,3
1007,50,18,3
1008,460,122,4
1009,80,28,3
1010,80,28,3
1011,584,152,4
1012,9,5,2
1013,80,28,3
1014,9,5,2
1015,56,20,3
1016,9,5,2
1017,9,5,2
1018,80,28,3
1019,56,20,3
1020,36,14,3
1021,36,14,3
1022,36,14,3
1023,312,84,4
1024,312,84,4
1025,36,14,3
1026,36,14,3
1027,36,14,3
1028,584,152,4
1029,460,122,4
1030,80,28,3
1031,80,28,3
1032,56,20,3
1033,9,5,2
1034,80,28,3
1035,9,5,2
1036,56,20,3
1037,9,5,2
1038,9,5,2
1039,80,28,3
1040,520,136,4
1041,460,122,4
1042,80,28,3
1043,80,28,3
1044,460,122,4
1045,584,152,4
1046,80,28,3
1047,80,28,3
1048,80,28,3
1049,80,28,3
1050,144,48,3
1051,16,8,2
1052,80,28,3
1053,80,28,3
1054,16,8,2
1055,144,48,3
1056,50,18,3
1057,9,5,2
1058,80,28,3
1059,9,5,2
1060,80,28,3
1061,80,28,3
1062,144,48,3
1063,16,8,2
1064,9,5,2
1065,2,2,1
1066,80,28,3
1067,2,2,1
1068,9,5,2
1069,2,2,1
1070,16,8,2
1071,16,8,2
1072,50,18,3
1073,9,5,2
1074,9,5,2
1075,80,28,3
