Iteration,0,1,2,3,4,5,6,7,8,9
223,4,3,4,2,4,4,2,3,2,3
224,4,2,4,1,4,2,4,1,4,4
225,2,2,4,3,4,3,3,4,2,4
226,3,1,3,3,2,3,1,3,1,1
227,2,1,2,1,2,1,2,2,2,2
228,4,4,2,1,1,1,2,2,1,4
229,3,3,2,3,3,2,3,2,2,2
230,4,2,4,2,2,2,2,2,2,4
231,3,3,4,2,3,3,3,3,2,4
232,5,5,4,3,4,6,6,3,5,8
233,1,4,3,4,1,2,4,4,2,4
234,3,3,3,3,3,3,3,2,2,2
235,1,1,1,1,1,1,1,1,1,1
236,2,3,1,3,3,1,3,1,3,2
237,3,2,3,2,3,3,3,3,3,1
238,2,4,4,4,2,3,4,4,2,4
239,1,1,1,1,1,1,1,1,1,1
240,2,3,3,3,3,3,2,2,3,3
241,2,3,1,3,3,2,2,3,3,1
242,4,5,5,3,7,5,5,4,8,7
243,3,3,4,4,4,4,3,3,4,2
244,3,4,4,4,3,2,4,4,4,4
245,2,2,2,2,2,2,2,1,2,2
246,3,1,1,2,2,2,1,3,1,2
247,3,3,2,3,3,3,4,3,3,4
248,1,1,1,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1,1,1,1
250,1,1,1,1,1,1,1,1,1,1
251,2,2,2,1,1,1,2,1,2,2
252,1,1,1,1,1,1,1,1,1,1
253,4,3,2,3,5,5,3,5,3,3
254,3,1,2,2,3,3,1,1,3,3
255,1,1,1,1,1,1,1,1,1,1
256,1,1,1,1,1,1,1,1,1,1
257,3,2,3,2,3,2,2,2,3,3
258,1,1,1,1,1,1,1,1,1,1
259,1,1,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1,1,1,1
261,1,1,1,1,1,1,1,1,1,1
262,2,2,2,2,2,2,2,2,2,2
263,1,1,1,1,1,1,1,1,1,1
264,2,1,1,2,2,2,2,2,2,1
265,1,1,1,1,1,1,1,1,1,1
266,1,1,1,1,1,1,1,1,1,1
267,2,1,2,2,2,1,1,2,3,3
268,2,1,1,2,2,2,1,2,1,2
269,1,1,2,2,1,2,2,2,2,2
270,2,1,2,2,2,2,2,1,1,2
271,2,2,3,3,2,3,1,3,3,3
272,1,1,1,1,1,1,1,1,1,1
273,3,3,2,3,3,2,3,3,3,2
274,1,1,1,1,1,1,1,1,1,1
275,3,3,3,3,3,3,3,3,3,3
276,2,1,2,2,2,2,1,1,1,2
277,2,2,2,2,1,2,1,1,2,1
278,2,2,1,1,1,2,2,2,2,1
279,2,2,3,3,3,3,1,3,3,3
280,3,3,2,2,3,3,3,2,3,2
